name,Image_link,src,Price
Microgreens Growing Kit Pack of 2,https://www.seedbasket.in/image/cache/catalog/Products/MicroGreens/Microgreen-growing-kit-mini-200x200-0.png,https://www.seedbasket.in/Microgreens-Growing-Kit-mini,₹350 ₹380
Homemade Desi Cow Dung Cake(30 Pack-Free Delivery),https://www.seedbasket.in/image/cache/catalog/Products/Cow-Pidakalu-200x200-0.jpeg,https://www.seedbasket.in/Desi-Cow-Dung-Cake-20Pack,₹229
Plant Care Kit ( Pack of 4) Natural and Organic,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Organic-plant-Nutrient-Kit-200x200-0.png,https://www.seedbasket.in/Organic-Plant-Nutrient-Kit-pack-4,₹635
Little Gardeners Kit for Kids,https://www.seedbasket.in/image/cache/catalog/Products/Kits/IMG-20240309-WA0046-200x200-0.jpg,https://www.seedbasket.in/little-gardeners-kit,₹129 ₹149
Bhendi/Okra Non-Hybrid (80 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Bhendi-200x200-0.png,https://www.seedbasket.in/Buy-Bhendi-Okra-Non-hybrid-seeds-online,₹30 ₹40
Palak/Spinach (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Spinach-200x200-0.png,https://www.seedbasket.in/Buy-Palak-Spinach-Seeds-Online,₹30 ₹40
White Bitter Gourd (30 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/BitterGourd-White-200x200-0.png,https://www.seedbasket.in/Buy-White-Bitter-Gourd-Non-Hybrid-seeds-online,₹30
Tomato Non Hybrid (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Tomato-200x200-0.png,https://www.seedbasket.in/Tomato-Non-Hybrid,₹30 ₹40
Palak/Spinach (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Spinach-200x200-0.png,https://www.seedbasket.in/Buy-Palak-Spinach-Seeds-Online,₹30 ₹40
Amaranth Green(Thotakura) (1400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Amaranth-Green-200x200-0.png,https://www.seedbasket.in/Buy-Amaranth-Thotakoora-seeds-online,₹30 ₹40
Coriander (300+ Seeds),https://www.seedbasket.in/image/cache/catalog/Coriander-200x200-0.png,https://www.seedbasket.in/Coriander-Seeds,₹30 ₹40
Chukka Kura (250+ Seeds),https://www.seedbasket.in/image/cache/catalog/chukkakura-200x200-0.png,https://www.seedbasket.in/Buy-Chukkakura-SeedsOnline,₹30
Microgreen Amaranthus Seeds (100 Grms),https://www.seedbasket.in/image/cache/catalog/Products/MicroGreens/Amaranth-Microgreens-200x200-0.JPG,https://www.seedbasket.in/Buy-Amaranthus-seeds-for-Microgreens-online,₹120 ₹180
Microgreen Methi Seeds (100 Grms),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Microgreen-Methi-200x200-0.png,https://www.seedbasket.in/Buy-Methi-seeds-for-Microgreens-online,₹99 ₹140
Microgreen Mustard Seeds (100 Grms),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Microgreen-Mustard-200x200-0.png,https://www.seedbasket.in/Buy-Microgreen-Mustard-seeds-online,₹80 ₹100
Microgreen Palak Seeds (100 Grms),https://www.seedbasket.in/image/cache/catalog/Microgreen_Palak-200x200-0.png,https://www.seedbasket.in/Buy-Palak-Spinach-seeds-for-Microgreens-online,₹99 ₹140
Plant Care Kit ( Pack of 4) Natural and Organic,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Organic-plant-Nutrient-Kit-200x200-0.png,https://www.seedbasket.in/Organic-Plant-Nutrient-Kit-pack-4,₹635
Plant Flower Booster Nutrient Tablets (10 nos),https://www.seedbasket.in/image/cache/catalog/Products/GardenPro/aminex-tab-200x200-0.jpg,https://www.seedbasket.in/Flower-Booster-Nutrient-Tablets,₹250
Gardening Tool kit (Pack of 3),https://www.seedbasket.in/image/cache/catalog/Products/Kits/Tools2-200x200-0.jpeg,https://www.seedbasket.in/buy-gardening-tools,₹199
Plant Growth Nutrient Sticks (10 nos),https://www.seedbasket.in/image/cache/catalog/Products/GardenPro/Gronex-Stick-02-200x200-0.jpg,https://www.seedbasket.in/Plant-Growth-Nutrient-Sticks,₹120
Broccoli (300 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotice%20Vegetable%20seeds-200x200-0.png,https://www.seedbasket.in/buy-Broccoli-seeds-online-for-home-gardening,₹70 ₹90
Curly Kale (400 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/SeedBasket%20(2)-200x200-0.png,https://www.seedbasket.in/Buy-Curly-Kale-seeds-online,₹60 ₹90
Exotic vegetable seeds - pack of 6,https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotic-Seeds-6Pack-200x200-0.png,https://www.seedbasket.in/Exotic-seeds-KIT-pack-of-6,₹349 ₹480
Herb Parsley (200 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotice%20Vegetable%20seeds%20(4)-200x200-0.png,https://www.seedbasket.in/Buy-Parsley-Seeds-Online,₹60 ₹80
HDPE Grow Bag 12X12 (Pack Of Four),https://www.seedbasket.in/image/cache/catalog/Products/GrowBags/GrowBag12-200x200-0.png,https://www.seedbasket.in/HDPE-Grow-Bags-PackOfFour,₹295
HDPE Grow Bag 15X15 inch,https://www.seedbasket.in/image/cache/catalog/Products/GrowBags/15X15-1-200x200-0.jpg,https://www.seedbasket.in/buy-Grow-Bags-15X15-online-for-home-gardening,₹92
HDPE Grow Bag 18X6 inch,https://www.seedbasket.in/image/cache/catalog/Products/GrowBags/GrowBag18-1-200x200-0.png,https://www.seedbasket.in/Buy-Grow-Bag-18X6-online,₹85
HDPE Grow Bag 24X6 inch,https://www.seedbasket.in/image/cache/catalog/Products/GrowBags/24X9-2-200x200-0.jpg,https://www.seedbasket.in/HDPE-Grow-Bags-24-6,₹99
Celosia Plumosa Liliput Mixed,https://www.seedbasket.in/image/cache/catalog/Products/Flowers/Summer/Celosia-Forest-Fire-mixed-200x200-0.jpg,https://www.seedbasket.in/Buy-Celosia-Forest-Fire-Mixed-Flower-Seeds-online,₹50
Gaillardia Aristata Mixed (50 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Flowers/Summer/Gaillardia_ArizonaSun-200x200-0.jpg,https://www.seedbasket.in/Buy-Gaillardia-Aristata-Mixed-Flower-Seeds-online,₹50
Kochia Fire Bush (100 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Flowers/Summer/KOCHIA-200x200-0.JPG,https://www.seedbasket.in/Buy-Kochia-Bush-Flower-Seeds-online,₹50
Marigold White African (20 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Flowers/All%20Seasons/AfricanMarigoldwhite-200x200-0.jpg,https://www.seedbasket.in/Buy-Marigold-White-African-Seeds-Online,₹50
