name,Image_link,src,Price
Palak/Spinach (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Spinach-200x200-0.png,https://www.seedbasket.in/Buy-Palak-Spinach-Seeds-Online,₹30 ₹40
Coriander (300+ Seeds),https://www.seedbasket.in/image/cache/catalog/Coriander-200x200-0.png,https://www.seedbasket.in/Coriander-Seeds,₹30 ₹40
Chukka Kura (250+ Seeds),https://www.seedbasket.in/image/cache/catalog/chukkakura-200x200-0.png,https://www.seedbasket.in/Buy-Chukkakura-SeedsOnline,₹30
Bhendi/Okra Non-Hybrid (80 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Bhendi-200x200-0.png,https://www.seedbasket.in/Buy-Bhendi-Okra-Non-hybrid-seeds-online,₹30 ₹40
Broccoli (300 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotice%20Vegetable%20seeds-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/buy-Broccoli-seeds-online-for-home-gardening,₹70 ₹90
Curly Kale (400 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/SeedBasket%20(2)-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/Buy-Curly-Kale-seeds-online,₹60 ₹90
Exotic vegetable seeds - pack of 6,https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotic-Seeds-6Pack-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/Exotic-seeds-KIT-pack-of-6,₹349 ₹480
Herb Parsley (200 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotice%20Vegetable%20seeds%20(4)-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/Buy-Parsley-Seeds-Online,₹60 ₹80
Herb Rocket Arugula (300 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Herbs/Rocket-Arugula-SEEDS-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/Buy-Rocket-Arugula-seeds-online,₹90
Lettuce Lollo Rossa Seeds (400Seeds),https://www.seedbasket.in/image/cache/catalog/Lettuce-Lollo-Rossa-Seeds-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/Buy-Lollo-Rosso-Lettuce-Seeds-Online,₹60 ₹90
Pak Choi (400 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Exotic/Exotice%20Vegetable%20seeds%20(3)-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Exotic-Vegetable-Seeds/Buy-Pak-Choi-seeds-online,₹60 ₹90
