name,Image_link,src,Price
Palak/Spinach (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Spinach-200x200-0.png,https://www.seedbasket.in/Buy-Palak-Spinach-Seeds-Online,₹30 ₹40
Coriander (300+ Seeds),https://www.seedbasket.in/image/cache/catalog/Coriander-200x200-0.png,https://www.seedbasket.in/Coriander-Seeds,₹30 ₹40
Chukka Kura (250+ Seeds),https://www.seedbasket.in/image/cache/catalog/chukkakura-200x200-0.png,https://www.seedbasket.in/Buy-Chukkakura-SeedsOnline,₹30
Bhendi/Okra Non-Hybrid (80 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Bhendi-200x200-0.png,https://www.seedbasket.in/Buy-Bhendi-Okra-Non-hybrid-seeds-online,₹30 ₹40
Baby Corn Hybrid (15 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Hybrid/baby-corn-228x228-0.jpeg,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Buy-Baby-Corn-Hybrid-seeds-online,₹60
Brinjal Green Top Hybrid (50 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Hybrid/Brinjal-Vishnavi-F1-228x228-1966935349.jpg,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Buy-Brinjal-Green-Hybrid-Seeds,₹70
Brinjal White Long Hybrid (50 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Hybrid/Brinjal-White-Long-228x228-1966935349.jpg,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Buy-Brinjal-White-Long-seeds-online,₹60
Chili F1 Hybrid (20+ Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Hybrid/hybrid-chilli-228x228-0.jpg,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Buy-Chilli-Hybrid-Vegetable-Seeds-Online-in-India,₹70
Bottle Gourd Hybrid,https://www.seedbasket.in/image/cache/catalog/Hybrid-Bottle-Gourd-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Bottle-Gourd-Hybrid-Seeds,₹70
Tomato Hybrid (20 Seeds),https://www.seedbasket.in/image/cache/catalog/Tomato-Hybrid-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Buy-Tomato-Hybrid-Seeds-online-in-India,₹70
Ridge Gourd Hybrid,https://www.seedbasket.in/image/cache/catalog/Hybrid-Ridge-Gourd-228x228-0.png,https://www.seedbasket.in/Vegetable-seeds/Hybrid-Seeds/Ridge-gourd-Hybrid-Seeds.,₹70
