name,Image_link,src,Price
Palak/Spinach (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Spinach-200x200-0.png,https://www.seedbasket.in/Buy-Palak-Spinach-Seeds-Online,₹30 ₹40
Coriander (300+ Seeds),https://www.seedbasket.in/image/cache/catalog/Coriander-200x200-0.png,https://www.seedbasket.in/Coriander-Seeds,₹30 ₹40
Chukka Kura (250+ Seeds),https://www.seedbasket.in/image/cache/catalog/chukkakura-200x200-0.png,https://www.seedbasket.in/Buy-Chukkakura-SeedsOnline,₹30
Bhendi/Okra Non-Hybrid (80 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Bhendi-200x200-0.png,https://www.seedbasket.in/Buy-Bhendi-Okra-Non-hybrid-seeds-online,₹30 ₹40
Bhendi/Okra Non-Hybrid (80 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Bhendi-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Bhendi-Okra-Non-hybrid-seeds-online?limit=100,₹30 ₹40
Palak/Spinach (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Spinach-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Palak-Spinach-Seeds-Online?limit=100,₹30 ₹40
White Bitter Gourd (30 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/BitterGourd-White-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-White-Bitter-Gourd-Non-Hybrid-seeds-online?limit=100,₹30
Tomato Non Hybrid (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Tomato-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Tomato-Non-Hybrid?limit=100,₹30 ₹40
Chilli Non Hybrid (300 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Mirchi-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Chili-seeds?limit=100,₹30 ₹40
Vegetable seeds kit pack of 12,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Vegetable-Kit-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/vegetable-seeds-pack-of-twelve?limit=100,₹338 ₹370
Amaranth Green(Thotakura) (1400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Amaranth-Green-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Amaranth-Thotakoora-seeds-online?limit=100,₹30 ₹40
